gate,value
historical_grid_35072_2192_16,True
historical_date_unit_unique,True
historical_no_sensitive_named_columns,True
external_design_grid_4015_365_11,True
external_design_no_sensitive_named_columns,True
external_population_positive_finite,True
SADU_2025_finite_nonnegative,True
SADU_2025_integer_valued,True
SADU_2025_no_sensitive_named_columns,True
external_M0_M1_M2_predictions_pairwise_distinct,True
R5_pooled_three_models,True
R5_pooled_n_4015,True
R6_nine_CIs,True
R6_all_nine_CIs_include_zero,True
R7_M0_M2_closed_supplemental,True
R7_M3_deferred,True
release_contains_no_raw_archive_or_spreadsheet_files,True
privacy_column_name_scan_pass,True
manual_license_review_required,True
manual_author_metadata_review_required,True
