scope,unit,comparison,n,delta_MAE,delta_RMSE,delta_mean_poisson_deviance,delta_mean_error,improves_MAE,improves_RMSE,improves_deviance
POOLED,,M1-M0,4015,-2.0606498590642843,-6.885779744899651,-0.7389020459357027,-2.600594886910388,True,True,True
POOLED,,M2-M0,4015,-2.1116751404188676,-12.981953631615283,-4.09488262959907,-8.026205193327888,True,True,True
POOLED,,M2-M1,4015,-0.051025281354583285,-6.096173886715633,-3.355980583663367,-5.4256103064175,True,True,True
UNIT,10,M1-M0,365,-5.5205411191759595,-4.070038554965549,-1.2293328764685043,23.238370629585376,True,True,True
UNIT,10,M2-M0,365,-18.225200612766173,-27.217690336655778,-17.5236699260617,63.72276218360496,True,True,True
UNIT,10,M2-M1,365,-12.704659493590214,-23.14765178169023,-16.294337049593196,40.48439155401958,True,True,True
UNIT,11,M1-M0,365,-0.6799122168869758,-2.2116956323491266,-1.7381142650528716,8.337885364843983,True,True,True
UNIT,11,M2-M0,365,-2.840079878052446,-4.295495630837152,-3.7076953453935033,10.987216318920877,True,True,True
UNIT,11,M2-M1,365,-2.1601676611654703,-2.0837999984880256,-1.9695810803406317,2.649330954076895,True,True,True
UNIT,13,M1-M0,365,-33.149647681956026,-35.76203016661316,-22.679903402100763,-16.49413574295835,True,True,True
UNIT,13,M2-M0,365,-36.0520306613206,-50.175560412897084,-35.368315980209445,-47.42341235985231,True,True,True
UNIT,13,M2-M1,365,-2.9023829793645746,-14.413530246283926,-12.688412578108682,-30.929276616893958,True,True,True
UNIT,14,M1-M0,365,4.1949215296694575,4.497613814248922,3.798199949560896,1.7911264752961387,False,False,False
UNIT,14,M2-M0,365,-1.1374251005862561,-0.6864847412230688,0.32974322200580275,4.877015124792862,True,True,False
UNIT,14,M2-M1,365,-5.332346630255714,-5.184098555471991,-3.4684567275550933,3.0858886494967237,True,True,True
UNIT,2,M1-M0,365,2.0365745252735934,3.2859365542952332,1.5403430768122774,-6.042737997028933,False,False,False
UNIT,2,M2-M0,365,18.433419966372952,23.824759458001694,11.88303314847596,-6.0781992546855275,False,False,False
UNIT,2,M2-M1,365,16.39684544109936,20.53882290370646,10.342690071663682,-0.03546125765659447,False,False,False
UNIT,3,M1-M0,365,-0.06830402042421468,0.08581088549730964,0.01713766109226711,1.015580543265612,True,False,False
UNIT,3,M2-M0,365,6.160188056929471,6.69592528824694,4.0289483765476035,0.4374749752288798,False,False,False
UNIT,3,M2-M1,365,6.228492077353685,6.61011440274963,4.011810715455336,-0.5781055680367322,False,False,False
UNIT,4,M1-M0,365,-0.33582866097266617,0.903824130581512,0.5128053762882914,-8.5264552703937,True,False,False
UNIT,4,M2-M0,365,5.39359893620184,8.664531274768734,5.339092019428257,-19.24795265113017,False,False,False
UNIT,4,M2-M1,365,5.729427597174507,7.760707144187222,4.826286643139966,-10.72149738073647,False,False,False
UNIT,5,M1-M0,365,3.768266516216869,9.516082323209957,5.131800690904981,-9.906045014095412,False,False,False
UNIT,5,M2-M0,365,24.746330836393668,35.693659157538434,18.836573896438765,-24.150803232748437,False,False,False
UNIT,5,M2-M1,365,20.9780643201768,26.177576834328477,13.704773205533783,-14.244758218653025,False,False,False
UNIT,6,M1-M0,365,-1.8714582384834557,-2.399168017084122,-2.3093748976060695,0.6771361978584451,True,True,True
UNIT,6,M2-M0,365,-6.28295855932538,-7.737589485127501,-7.783329931286261,-6.331263561620512,True,True,True
UNIT,6,M2-M1,365,-4.411500320841924,-5.338421468043379,-5.473955033680191,-7.008399759478957,True,True,True
UNIT,7,M1-M0,365,3.3746653820703614,7.400536735038202,4.666503702572285,-10.357508230133817,False,False,False
UNIT,7,M2-M0,365,-12.401394316890048,-12.677401907371063,-13.82033267058165,-32.734681870586115,True,True,True
UNIT,7,M2-M1,365,-15.77605969896041,-20.077938642409265,-18.486836373153935,-22.3771736404523,True,True,True
UNIT,8,M1-M0,365,5.584115534961541,7.9639142112026775,4.162012478704455,-12.339760712253774,False,False,False
UNIT,8,M2-M0,365,-1.0228752115649513,-7.688719916825903,-7.257755734953776,-32.34641279853136,True,True,True
UNIT,8,M2-M1,365,-6.606990746526492,-15.65263412802858,-11.41976821365823,-20.006652086277583,True,True,True
