dataset,variable,normalized_name,role,dtype,nonmissing_n,missing_n,unique_n,description,minimum,maximum
historical_panel_2019_2024,unit,unit,key,str,35072,0,16,Canonical regional analysis-unit identifier.,,
historical_panel_2019_2024,date,date,key,datetime64[us],35072,0,2192,Calendar date.,,
historical_panel_2019_2024,age_65_plus,age_65_plus,other,float64,35072,0,16,Derived or source variable; see METHODS_FREEZE.md and SOURCE_PROVENANCE.csv.,0.12196876284422524,0.20048977853492334
historical_panel_2019_2024,d2m,d2m,other,float64,35072,0,35029,Derived or source variable; see METHODS_FREEZE.md and SOURCE_PROVENANCE.csv.,-19.885730743408203,20.492219924926758
historical_panel_2019_2024,ind_cal_glob_vuln,ind_cal_glob_vuln,other,float64,35072,0,1,Derived or source variable; see METHODS_FREEZE.md and SOURCE_PROVENANCE.csv.,1.0,1.0
historical_panel_2019_2024,ind_estado_vuln,ind_estado_vuln,other,float64,35072,0,16,Derived or source variable; see METHODS_FREEZE.md and SOURCE_PROVENANCE.csv.,0.19976635514018692,0.38160515524311656
historical_panel_2019_2024,ind_hacina_vuln,ind_hacina_vuln,other,float64,35072,0,12,Derived or source variable; see METHODS_FREEZE.md and SOURCE_PROVENANCE.csv.,0.998945518453427,1.0
historical_panel_2019_2024,ind_mat_vuln,ind_mat_vuln,other,float64,35072,0,1,Derived or source variable; see METHODS_FREEZE.md and SOURCE_PROVENANCE.csv.,1.0,1.0
historical_panel_2019_2024,ind_san_vuln,ind_san_vuln,other,float64,35072,0,1,Derived or source variable; see METHODS_FREEZE.md and SOURCE_PROVENANCE.csv.,1.0,1.0
historical_panel_2019_2024,log_population,log_population,other,float64,35072,0,96,Derived or source variable; see METHODS_FREEZE.md and SOURCE_PROVENANCE.csv.,11.577588978295951,15.946206962043162
historical_panel_2019_2024,population,population,exposure,int64,35072,0,96,Population exposure used for rate-model fitting and count restoration.,106680.0,8420729.0
historical_panel_2019_2024,precip,precip,other,float64,35072,0,8778,Derived or source variable; see METHODS_FREEZE.md and SOURCE_PROVENANCE.csv.,0.0,102.0956039428711
historical_panel_2019_2024,rural,rural,other,float64,35072,0,16,Derived or source variable; see METHODS_FREEZE.md and SOURCE_PROVENANCE.csv.,0.054665022605836416,0.3120979456318738
historical_panel_2019_2024,tmax,tmax,other,float64,35072,0,29504,Derived or source variable; see METHODS_FREEZE.md and SOURCE_PROVENANCE.csv.,-4.802337646484375,38.859771728515625
historical_panel_2019_2024,tmean,tmean,other,float64,35072,0,34874,Derived or source variable; see METHODS_FREEZE.md and SOURCE_PROVENANCE.csv.,-11.803532600402832,27.72515296936035
historical_panel_2019_2024,tmin,tmin,other,float64,35072,0,30413,Derived or source variable; see METHODS_FREEZE.md and SOURCE_PROVENANCE.csv.,-20.342071533203125,22.264556884765625
historical_panel_2019_2024,vulnerability_index,vulnerability_index,other,float64,35072,0,16,Derived or source variable; see METHODS_FREEZE.md and SOURCE_PROVENANCE.csv.,-0.6231045823167687,0.3876360430359162
historical_panel_2019_2024,urgent_respiratory_total,urgent_respiratory_total,health_outcome,float64,35072,0,4206,Daily aggregate urgent respiratory-care count.,5.0,12537.0
historical_panel_2019_2024,respiratory_hospitalizations,respiratory_hospitalizations,health_outcome_or_memory,float64,35072,0,342,Derived or source variable; see METHODS_FREEZE.md and SOURCE_PROVENANCE.csv.,0.0,377.0
historical_panel_2019_2024,respiratory_deaths,respiratory_deaths,health_outcome_or_memory,float64,35072,0,42,Derived or source variable; see METHODS_FREEZE.md and SOURCE_PROVENANCE.csv.,0.0,41.0
historical_panel_2019_2024,in_hospital_respiratory_deaths,in_hospital_respiratory_deaths,health_outcome_or_memory,float64,35072,0,84,Derived or source variable; see METHODS_FREEZE.md and SOURCE_PROVENANCE.csv.,0.0,120.0
historical_panel_2019_2024,lag14_respiratory_deaths,lag14_respiratory_deaths,health_outcome_or_memory,float64,35072,0,42,Derived or source variable; see METHODS_FREEZE.md and SOURCE_PROVENANCE.csv.,0.0,41.0
historical_panel_2019_2024,lag1_respiratory_deaths,lag1_respiratory_deaths,health_outcome_or_memory,float64,35072,0,42,Derived or source variable; see METHODS_FREEZE.md and SOURCE_PROVENANCE.csv.,0.0,41.0
historical_panel_2019_2024,lag7_respiratory_deaths,lag7_respiratory_deaths,health_outcome_or_memory,float64,35072,0,42,Derived or source variable; see METHODS_FREEZE.md and SOURCE_PROVENANCE.csv.,0.0,41.0
