release_path,role,upstream_artifact,upstream_sha256,release_sha256,bytes
data/historical/canonical_region_day_panel_2019_2024.parquet,publication_dataset_historical,stage34C3b7b15g3_assemble_and_freeze_full_canonical_historical_feature_panel/FULL_CANONICAL_HISTORICAL_FEATURE_PANEL_2019_2024.parquet,80bd85b2fb91b373719984b16817f3d214c59193a006131061caaf3f10231961,f115fb7ea37224244a02eb6e5a7fdf85f534104ab64c31f8e854cb0e51faa331,12481546
data/historical/canonical_region_day_panel_2019_2024.csv.gz,publication_dataset_historical_accessible_copy,stage34C3b7b15g3_assemble_and_freeze_full_canonical_historical_feature_panel/FULL_CANONICAL_HISTORICAL_FEATURE_PANEL_2019_2024.parquet,80bd85b2fb91b373719984b16817f3d214c59193a006131061caaf3f10231961,a83673b3a8516a1f072a7ac37e3bacb13b0dfc8e971e23fcce060d2db7de0c22,13580242
data/historical/accepted_M0_M3_pooled_metrics.csv,accepted_historical_metrics,STAGE34C3B7B15H2BA_TIGHT_TOLERANCE_CONVERGENCE_FREEZE_AND_CANONICAL_M0_M3_REFIT_V2/CANONICAL_CAUSAL_M0_M3_POOLED_METRICS.csv,ce3f80baf08b4f247ee79449d19e8717f0816a2b522c374ec474edb650ce1208,ce3f80baf08b4f247ee79449d19e8717f0816a2b522c374ec474edb650ce1208,517
data/historical/accepted_M0_M3_fold_metrics.csv,accepted_historical_fold_metrics,STAGE34C3B7B15H2BA_TIGHT_TOLERANCE_CONVERGENCE_FREEZE_AND_CANONICAL_M0_M3_REFIT_V2/CANONICAL_CAUSAL_M0_M3_FOLD_METRICS.csv,d20946c4c5ff346182c2f7dd1c8d5c4cd597b87aab475c908ade1a8568d9decd,d20946c4c5ff346182c2f7dd1c8d5c4cd597b87aab475c908ade1a8568d9decd,1188
data/historical/accepted_M0_M3_fold_coefficients.csv,accepted_historical_fold_coefficients,STAGE34C3B7B15H2BA_TIGHT_TOLERANCE_CONVERGENCE_FREEZE_AND_CANONICAL_M0_M3_REFIT_V2/CANONICAL_CAUSAL_M0_M3_COEFFICIENTS.csv,2d3c3cc7d00396991ed37802002380474d3681731d61ac12141d3ce1e0d37b68,2d3c3cc7d00396991ed37802002380474d3681731d61ac12141d3ce1e0d37b68,24016
data/historical/accepted_M0_M3_test_predictions.parquet,accepted_historical_test_predictions,STAGE34C3B7B15H2BA_TIGHT_TOLERANCE_CONVERGENCE_FREEZE_AND_CANONICAL_M0_M3_REFIT_V2/CANONICAL_CAUSAL_M0_M3_TEST_PREDICTIONS.parquet,0ca0c9453a29cbdbecb95a1bc22a8a2bc43125dc170e6da49446cf677c43a4fa,0ca0c9453a29cbdbecb95a1bc22a8a2bc43125dc170e6da49446cf677c43a4fa,245469
audit/FROZEN_CANONICAL_TIGHT_TOLERANCE_REFIT_SPEC.json,accepted_historical_fit_spec,STAGE34C3B7B15H2BA_TIGHT_TOLERANCE_CONVERGENCE_FREEZE_AND_CANONICAL_M0_M3_REFIT_V2/FROZEN_CANONICAL_TIGHT_TOLERANCE_REFIT_SPEC.json,dea69ee4e3d0b484941d161ab049d1c30e7a5331698e17036c7741bfb2c43de1,dea69ee4e3d0b484941d161ab049d1c30e7a5331698e17036c7741bfb2c43de1,824
data/derived/prospective_full_history_M0_M2_parameters.parquet,derived_model_parameters,stage34C3b7b15h2br_prospective_full_history_repair_fit_OUTPUT_v18c_r4_r10_r7/FROZEN_REPAIR_FULL_HISTORY_2019_2024_M0_M2_PARAMETERS.parquet,f6ff882968bc47b6e61791aff89befc0c59b4cb9d99683310bca00a05498d123,f6ff882968bc47b6e61791aff89befc0c59b4cb9d99683310bca00a05498d123,5324
audit/prospective_full_history_M0_M2_convergence.csv,fit_convergence_audit,stage34C3b7b15h2br_prospective_full_history_repair_fit_OUTPUT_v18c_r4_r10_r7/FULL_HISTORY_REPAIR_FIT_CONVERGENCE_AUDIT.csv,8e6cca78c627c65bc7e499eea762021314882c4bfdf27e7ea8515f2213a808f6,8e6cca78c627c65bc7e499eea762021314882c4bfdf27e7ea8515f2213a808f6,502
data/derived/external_2025_M0_M2_predictions.parquet,derived_external_predictions,stage34C3b7b15h2br_prospective_full_history_repair_fit_OUTPUT_v18c_r4_r10_r7/FROZEN_REPAIR_2025_M0_M2_PREDICTIONS_PRE_OUTCOME_SCORE.parquet,e97c6d7a6785093898190cd68f8264885f59575b7dfbe0f8489121096ee939c5,e97c6d7a6785093898190cd68f8264885f59575b7dfbe0f8489121096ee939c5,238734
data/derived/external_2025_M0_M2_metrics.csv,derived_external_metrics,stage34C3b7b15h2br_external_2025_repaired_m0_m2_score_OUTPUT_v18c_r5/EXTERNAL_2025_REPAIRED_M0_M2_METRICS.csv,34a85bf236fbbbafb078813ff66c24b3c633f0111962f8f9ef3e193bc7796c9c,34a85bf236fbbbafb078813ff66c24b3c633f0111962f8f9ef3e193bc7796c9c,4591
data/derived/external_2025_M0_M2_pairwise_deltas.csv,derived_external_deltas,stage34C3b7b15h2br_external_2025_repaired_m0_m2_score_OUTPUT_v18c_r5/EXTERNAL_2025_REPAIRED_M0_M2_PAIRWISE_DELTAS.csv,7e6a8a5ff4b5ddb9310197c319b4592ef473b5bb6bdf34ca97625b230134a6e7,7e6a8a5ff4b5ddb9310197c319b4592ef473b5bb6bdf34ca97625b230134a6e7,4096
